Name,Date Of Birth,Age,Address,Phone Number,M1,M2,M3,M4,M5,Sum,Avg,Grade,Pass
Pranav,04-04-1997,27,Bangalore,9874563210,33,18,12,22,35,120,24,F,No
Rohan,22-07-1999,25,Pune,9510254864,50,84,89,92,,396,79.2,B,Yes
Ishaan,13-01-1996,28,Ahmedabad,,19,24,26,20,25,114,22.8,F,No
Rahul,21-05-2001,23,Hyderabad,8491389606,40,13,44,21,21,139,27.8,F,No
Pranav,01-11-1997,27,Kolkata,,16,,10,,31,109,21.8,F,No
Ishaan,21-02-2001,23,Pune,8745963215,43,22,14,17,32,128,25.6,F,No
Ishaan,11-07-2004,20,Lucknow,,,39,42,,13,156,31.2,F,No
Pooja,19-04-2001,23,Kolkata,7805227638,23,,22,,33,108,21.6,F,No
Krishna,16-01-1998,26,Mumbai,9489123859,39,32,,25,22,158,31.6,F,No
Krishna,15-08-2004,20,Chennai,,,36,12,38,20,142,28.4,F,No
Pranav,13-07-2002,22,Hyderabad,,,55,57,74,68,333,66.6,C,Yes
Siddharth,24-07-2002,22,Ahmedabad,6681809751,,68,84,60,87,399,79.8,B,Yes
Yash,11-11-2000,24,Hyderabad,,31,33,36,32,,142,28.4,F,No
Ishaan,16-06-1997,27,Mumbai,,86,67,,55,62,340,68,C,Yes
Pranav,11-01-1996,28,Kolkata,7294366305,41,45,,11,,140,28,F,No
Yash,14-12-1998,26,Hyderabad,8456971230,51,51,,91,97,369,73.8,B,Yes
Aarav,18-06-2003,21,Pune,,41,32,24,26,,156,31.2,F,No
Varun,27-09-2001,23,Delhi,6058479869,23,42,10,,,119,23.8,F,No
Pooja,18-09-2001,23,Lucknow,8765487679,14,,42,40,,156,31.2,F,No
Neha,01-12-1995,29,Ahmedabad,9570067840,45,10,25,39,,140,28,F,No
Krishna,06-08-1996,28,Ahmedabad,6755044772,25,25,15,30,13,108,21.6,F,No
Pooja,27-12-2004,20,Ahmedabad,,90,,79,71,,388,77.6,B,Yes
Rahul,10-09-2004,20,Mumbai,7424210522,77,72,100,96,81,426,85.2,A,Yes
Aarav,08-02-1998,26,Ahmedabad,9209195665,20,28,42,18,21,129,25.8,F,No
Rohan,08-01-1999,25,Hyderabad,9708000969,58,,78,80,50,318,63.6,C,Yes
Rohan,24-08-1997,27,Kolkata,8393857834,37,44,,,32,183,36.6,F,No
Yash,02-09-1998,26,Chennai,7811592264,86,,94,89,,424,84.8,B,Yes
Neha,13-04-1996,28,Hyderabad,,25,40,40,25,20,150,30,F,No
Neha,20-08-2002,22,Kolkata,8867389831,72,73,91,75,,393,78.6,B,Yes
Pooja,03-09-2003,21,Kolkata,,25,21,28,15,12,101,20.2,F,No
Pranav,08-05-1996,28,Jaipur,,,,68,89,63,368,73.6,B,Yes
Pranav,25-08-1997,27,Pune,,14,15,43,30,42,144,28.8,F,No
Ishaan,23-11-2002,22,Lucknow,9043844915,75,,52,89,60,365,73,B,Yes
Krishna,21-09-1999,25,Delhi,6522514325,13,40,37,24,41,155,31,F,No
Pranav,26-06-1998,26,Lucknow,,,35,39,37,,147,29.4,F,No
